"Age-standardised prevalence of IGT, %",,,,
Years,2000,2011,2024,2050
,,,,
Africa,-,9.70,11.50,13.70
Europe,-,8.60,5.90,6.20
Middle East and North Africa,-,7.60,11.00,-
North America and Caribbean,-,10.70,11.60,12.60
South and Central America,-,5.40,11.00,11.90
South-East Asia,-,3.00,13.80,14.60
Western Pacific,-,5.40,13.50,14.30
Afghanistan,-,7.20,8.70,9.10
Albania,-,9.50,7.50,7.60
Algeria,-,5.70,6.50,6.90
Andorra,-,7.50,9.50,10.50
Angola,-,9.10,7.40,8.30
Antigua and Barbuda,-,11.00,5.60,6.20
Argentina,-,6.20,11.60,12.50
Armenia,-,7.60,2.80,2.60
Aruba,-,10.90,5.60,6.20
Australia,-,8.60,9.40,10.40
Austria,-,7.30,4.30,4.90
Azerbaijan,-,9.50,3.10,2.80
Bahamas,-,10.60,5.60,6.20
Bahrain,-,16.30,17.60,19.40
Bangladesh,-,2.80,13.50,13.80
Barbados,-,10.90,5.60,6.20
Belarus,-,10.10,1.90,1.90
Belgium,-,7.60,4.20,4.80
Belize,-,10.80,5.20,5.90
Benin,-,11.70,9.60,10.00
Bermuda,-,10.50,11.60,12.50
Bhutan,-,3.00,13.50,13.80
Bolivia (Plurinational State of),-,7.10,7.00,8.30
Bosnia and Herzegovina,-,9.50,7.50,7.70
Botswana,-,8.80,7.60,8.40
Brazil,-,4.30,11.30,12.30
Brunei Darussalam,-,11.90,16.30,16.90
Bulgaria,-,1.70,1.50,1.50
Burkina Faso,-,10.10,9.30,9.70
Burundi,-,8.40,15.80,20.40
Cabo Verde,-,8.80,9.80,10.20
Cambodia,-,9.70,7.30,8.10
Cameroon,-,8.70,9.80,10.10
Canada,-,10.60,11.50,12.50
Cayman Islands,-,10.50,11.50,12.50
Central African Republic,-,11.30,9.50,9.90
Chad,-,10.10,9.20,9.60
Chile,-,6.20,11.90,12.70
China,-,2.30,13.30,14.70
"China, Hong Kong SAR",-,13.30,14.90,15.80
"China, Macao SAR",-,13.00,14.90,15.70
Colombia,-,5.90,10.90,12.00
Comoros,-,10.10,11.50,12.90
Congo,-,8.90,9.90,10.20
Costa Rica,-,5.80,10.90,12.10
Croatia,-,7.20,7.50,7.70
Cuba,-,6.00,10.50,11.60
Curaáao,-,-,5.50,6.20
Cyprus,-,6.10,6.30,7.00
Czechia,-,7.30,2.20,2.20
Cìte d'Ivoire,-,8.20,9.70,10.00
Dem. People's Republic of Korea,-,10.40,9.70,10.00
Democratic Republic of the Congo,-,10.90,9.60,9.90
Denmark,-,9.90,10.70,11.40
Djibouti,-,9.60,24.00,28.20
Dominica,-,10.70,5.40,6.10
Dominican Republic,-,5.90,11.10,12.20
Ecuador,-,5.80,9.60,10.90
Egypt,-,7.40,18.10,18.30
El Salvador,-,5.60,10.50,11.70
Equatorial Guinea,-,7.60,9.90,10.40
Eritrea,-,9.60,20.90,26.70
Estonia,-,7.10,7.10,8.30
Eswatini,-,6.60,5.50,6.10
Ethiopia,-,8.90,17.20,22.60
Faroe Islands,-,-,1.10,1.30
Fiji,-,11.00,7.80,8.40
Finland,-,6.70,7.90,9.20
France,-,7.50,9.50,10.50
French Polynesia,-,10.80,7.80,8.40
Gabon,-,10.20,10.20,10.50
Gambia,-,13.30,9.90,10.10
Georgia,-,9.60,2.90,2.60
Germany,-,6.10,8.30,9.80
Ghana,-,12.60,9.80,10.10
Global,-,6.50,12.00,12.90
Greece,-,7.20,7.40,7.50
Greenland,-,-,8.00,9.40
Grenada,-,10.90,5.20,5.80
Guam,-,12.60,7.90,8.60
Guatemala,-,5.40,8.80,10.30
Guernsey,-,-,4.40,4.90
Guinea,-,10.90,9.40,9.70
Guinea-Bissau,-,10.30,9.50,9.80
Guyana,-,11.00,5.60,6.10
Haiti,-,4.60,5.30,6.00
Honduras,-,5.50,9.30,10.80
Hungary,-,7.30,2.30,2.20
Iceland,-,7.60,8.50,9.70
India,-,3.00,13.90,14.80
Indonesia,-,8.20,16.30,14.90
Iran (Islamic Republic of),-,5.60,8.50,9.10
