country,t1_all_ages,t1_children,diabetes_total,population,obesity_rate
Denmark,30596,3665,354700,4319000,13.28
Dominican Republic,6506,1441,1203700,7255500,29.34
Eritrea,6913,1917.9,70200,1879600,4.83
Guinea-Bissau,182,45.8,39900,1086100,11.47
Hungary,30670,4523.6,765000,7559100,31.7
Nepal,18087,6789.7,1259100,19117900,6.99
North Macedonia,2292,411.5,140800,1589800,27.54
Republic of Moldova,3040,860.8,165500,2421600,22.97
Singapore,3931,454.6,699100,4945000,13.88
Viet Nam,23100,7016.2,2499900,69065900,2.02
